"","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95"
"24","Italy","IT",11.6666666666667,9.87776666666667,8.93069154200823,10.8248417913251,1.40856136900902,4.19606818749611,1.97179189660669,7.92759688339189,2.39132058801354,11.3733973199857,-1.7889,0.563230527597674,3.73152869589578,-2.73597512465843,0.982759219004516,7.17732913248961
"25","Japan","JP",16,12.7822944444444,11.7242706549498,13.8403182339391,0.843361400754689,3.01196315014471,1.17955877122547,3.22854255109813,1.39470375592995,4.12485863100158,-3.21770555555556,0.336197370470783,0.216579400953421,-4.27572934505019,0.551342355175265,1.11289548085687
"26","Korea","KR",17.8333333333333,14.2612736111111,13.4252283300997,15.0973188921226,0.732221463029722,2.40624824945712,0.980989881596309,2.91037134119141,1.08076152348953,2.99141084686156,-3.57205972222222,0.248768418566586,0.504123091734286,-4.40810500323366,0.348540060459803,0.585162597404434
"27","Latvia","LV",14.5,13.3987777777778,12.5238597503699,14.2736958051856,0.957414654886946,2.91748453104988,1.08441435514747,2.99762898056719,1.22563487422652,3.38221879887429,-1.10122222222222,0.12699970026052,0.0801444495173058,-1.97614024963006,0.268220219339572,0.464734267824412
"28","Lithuania","LT",14.5,14.0843763888889,13.249682772473,14.9190700053048,0.957414654886946,2.91748453104988,0.99975275050796,2.91190957893463,1.10563637598337,3.03788755824918,-0.415623611111112,0.042338095621014,-0.0055749521152535,-1.250317227527,0.148221721096423,0.120403027199302
"29","Malaysia","MY",14,7.18835277777778,6.32548891800694,8.05121663754861,1.00911616662453,2.91510803281166,3.43216380481362,21.1769007619992,4.0955589523369,28.0002984191801,-6.81164722222222,2.42304763818909,18.2617927291876,-7.67451108199306,3.08644278571237,25.0851903863685
"30","Mexico","MX",13,7.32336805555556,6.49027161613728,8.15646449497383,1.14368006583737,3.12674634738443,3.33773830204491,20.2355056807703,3.96063553880008,26.5857207927862,-5.67663194444444,2.19405823620754,17.1087593333859,-6.50972838386272,2.81695547296271,23.4589744454018
"31","Netherlands","NL",20,18.0090541666667,17.1707334925388,18.8473748407946,0.528295218534761,0,0.720273628929741,2.25898209607007,0.773698765637737,2.7962276596495,-1.99094583333333,0.19197841039498,2.25898209607007,-2.82926650746122,0.245403547102976,2.7962276596495
"32","New Zealand","NZ",18,16.3039125,15.3755770445004,17.2322479554996,0.720901920982245,2.2670672729256,0.824769991014922,2.99858901097477,0.885135817177225,2.98558016370427,-1.6960875,0.103868070032677,0.731521738049167,-2.62442295549962,0.16423389619498,0.718512890778669
"33","Norway","NO",20,19.4150763888889,18.5807649520203,20.2493878257574,0.528295218534761,0,0.598563609244437,0.227144588463034,0.677226929784738,1.62954153973098,-0.584923611111112,0.0702683907096768,0.227144588463034,-1.41923504797967,0.148931711249978,1.62954153973098
"34","Poland","PL",13.6666666666667,11.4552152777778,10.5281584528673,12.3822721026883,1.04891670966037,2.94648848052374,1.46150611062982,4.48019926767898,1.73513687467176,6.19616773111348,-2.21145138888889,0.412589400969445,1.53371078715524,-3.13850821379939,0.686220165011386,3.24967925058974
"35","Portugal","PT",11,7.26100138888889,6.25030860399457,8.27169417378321,1.58708246480164,5.22159971540106,3.3810502505327,20.6662735366508,4.15844757176277,28.6638203454343,-3.73899861111111,1.79396778573106,15.4446738212497,-4.74969139600543,2.57136510696113,23.4422206300332
"36","Romania","RO",11,7.6658375,6.83301491504715,8.49866008495285,1.58708246480164,5.22159971540106,3.10909036003482,17.9924982198399,3.69259567997883,23.8144239523385,-3.3341625,1.52200789523318,12.7708985044388,-4.16698508495285,2.10551321517719,18.5928242369374
"37","Russia","RU",10.5,8.62905416666667,7.79515064027077,9.46295769306256,1.74458008498574,6.26147727272731,2.54528073604751,12.7284971492579,3.02672099296688,17.198185307469,-1.87094583333333,0.800700651061763,6.46701987653061,-2.70484935972923,1.28214090798114,10.9367080347417
"38","Singapore","SG",20,18.5742277777778,17.714341755907,19.4341137996485,0.528295218534761,0,0.67776170366208,1.63814346853323,0.740041334806707,2.49480232350237,-1.42577222222222,0.14946648512732,1.63814346853323,-2.28565824409297,0.211746116271946,2.49480232350237
"39","Slovakia","SK",16,7.77767638888889,6.74409669211767,8.81125608566011,0.843361400754689,3.01196315014471,3.03772672841752,17.303870141885,3.76052142333788,24.511562055009,-8.22232361111111,2.19436532766283,14.2919069917403,-9.25590330788233,2.9171600225832,21.4995989048643
"40","Slovenia","SI",15.8333333333333,11.9865986111111,10.9053028668062,13.067894355416,0.853956009711336,3.01063212759527,1.33455422984849,3.83240042956606,1.6152893146767,5.39961209289809,-3.84673472222222,0.480598220137152,0.821768301970792,-4.92803046652713,0.761333304965359,2.38897996530282
"41","South Africa","ZA",9.66666666666667,6.14650416666667,5.31270481529923,6.9803035180341,2.05729341679537,8.59557287354411,4.24666652254461,29.598894538083,5.01547347807146,37.9364176801903,-3.5201625,2.18937310574925,21.0033216645389,-4.35396185136743,2.9581800612761,29.3408448066461
"42","Spain","ES",13.8333333333333,9.3990625,8.3495366811168,10.4485883188832,1.02843938488805,2.92679101016677,2.17214351541123,9.52256095574105,2.69731065894606,14.1048630472267,-4.43427083333333,1.14370413052318,6.59576994557429,-5.48379665221653,1.66887127405801,11.1780720370599
"43","Sweden","SE",20,18.5638847222222,17.6965468970826,19.4312225473619,0.528295218534761,0,0.678605577692115,1.65168326349018,0.741193779480509,2.50729928834721,-1.43611527777778,0.150310359157355,1.65168326349018,-2.30345310291743,0.212898560945748,2.50729928834721
"44","Switzerland","CH",20,19.1727194444444,18.3355232985316,20.0099155903573,0.528295218534761,0,0.623746600559491,0.700103884090822,0.696569413429141,1.92925261041594,-0.827280555555554,0.0954513820247305,0.700103884090822,-1.66447670146838,0.16827419489438,1.92925261041594
"45","Taiwan","TW",17,13.6084041666667,12.7277216306602,14.4890867026732,0.783809906904573,2.85987858509344,1.05635943982603,2.95546172082896,1.18896625939778,3.25790885967186,-3.39159583333333,0.272549532921457,0.0955831357355237,-4.27227836933984,0.405156352493205,0.398030274578417
"46","Turkey","TR",8.16666666666667,7.1052625,6.26967829506059,7.94084670493941,2.80179881048079,15.0706054607764,3.49150264178475,21.7726927022896,4.14216441390787,28.491772556321,-1.06140416666667,0.689703831303961,6.70208724151317,-1.89698837160607,1.34036560342708,13.4211670955446
"47","United Kingdom","GB",18.3333333333333,15.7931625,14.4097708256564,17.1765541743436,0.696735786814914,1.93172118829193,0.856561876501248,3.00955618419445,0.966099733166882,2.9137224657109,-2.54017083333333,0.159826089686334,1.07783499590252,-3.92356250767689,0.269363946351968,0.982001277418973
"48","United States","US",19,15.2272083333333,13.4221358183466,17.03228084832,0.640457129391164,1.00324021516269,0.896060946152021,2.97339591597094,1.08118688591462,2.99212395365011,-3.77279166666667,0.255603816760856,1.97015570080825,-5.57786418165336,0.440729756523457,1.98888373848742
"49","Vietnam","VN",8.33333333333333,6.03782083333333,5.20556578321842,6.87007588344825,2.70640654532694,14.1883180169777,4.34077049040438,30.6016941756007,5.1222726941026,39.1183852684283,-2.2955125,1.63436394507744,16.413376158623,-3.12776755011491,2.41586614877566,24.9300672514506
